CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
5a3b44a74e0d   peer2.org1.example.com                                                                                  29.39%    154.9MiB / 11.57GiB   127MB / 118MB     61.4kB / 34.8MB   13
f52bcfec683a   peer1.org1.example.com                                                                                  27.06%    137.1MiB / 11.57GiB   119MB / 104MB     168kB / 36.4MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  23.94%    136.5MiB / 11.57GiB   38.3MB / 30.7MB   12.8MB / 15MB     14
4e91c5796a73   peer0.org1.example.com                                                                                  10.20%    148.2MiB / 11.57GiB   123MB / 101MB     16.5MB / 17.2MB   12
4dcc78dc2550   couchdb0                                                                                                18.09%    78.45MiB / 11.57GiB   1.75MB / 1.79MB   15.8MB / 12.8MB   42
c3d37a692212   couchdb1                                                                                                41.70%    86.62MiB / 11.57GiB   3.04MB / 3.29MB   12.6MB / 11.1MB   42
acbdacfc7222   orderer.example.com                                                                                     12.83%    74.23MiB / 11.57GiB   27.4MB / 98.8MB   19.6MB / 55.2MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   7.24%     11.59MiB / 2GiB       11.9MB / 4.99MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.55%     8.379MiB / 2GiB       3.87MB / 2.15MB   8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.67%     8.211MiB / 2GiB       3.06MB / 1.35MB   0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.80%     8.188MiB / 2GiB       3.04MB / 1.31MB   0B / 0B           8
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   3.00%     8.203MiB / 2GiB       3.1MB / 1.35MB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  38.90%    141.2MiB / 11.57GiB   141MB / 125MB     1.68MB / 65.9MB   14
5a3b44a74e0d   peer2.org1.example.com                                                                                  27.38%    142.6MiB / 11.57GiB   141MB / 133MB     61.4kB / 38.3MB   13
f52bcfec683a   peer1.org1.example.com                                                                                  31.01%    139MiB / 11.57GiB     129MB / 114MB     168kB / 40.5MB    15
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  20.20%    136.1MiB / 11.57GiB   40MB / 32.9MB     12.8MB / 15.2MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  14.05%    140.2MiB / 11.57GiB   137MB / 109MB     16.5MB / 17.6MB   12
4dcc78dc2550   couchdb0                                                                                                24.77%    79.3MiB / 11.57GiB    1.82MB / 1.88MB   15.8MB / 13.9MB   42
c3d37a692212   couchdb1                                                                                                29.28%    86.9MiB / 11.57GiB    3.26MB / 3.54MB   12.6MB / 11.3MB   42
acbdacfc7222   orderer.example.com                                                                                     9.30%     84.62MiB / 11.57GiB   30.4MB / 108MB    19.6MB / 61.3MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
